number	state	value	datetime_start	datetime_complete	params	params	params	params	params	params	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	user_attrs	system_attrs	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values	intermediate_values
					loss.margin	model.embedding_dim	negative_sampler.num_negs_per_pos	optimizer.lr	regularizer.weight	training.num_epochs	avg.adjusted_mean_rank	avg.hits_at_1	avg.hits_at_10	avg.hits_at_3	avg.hits_at_5	avg.mean_rank	avg.mean_reciprocal_rank	best.hits_at_1	best.hits_at_10	best.hits_at_3	best.hits_at_5	best.mean_rank	best.mean_reciprocal_rank	worst.hits_at_1	worst.hits_at_10	worst.hits_at_3	worst.hits_at_5	worst.mean_rank	worst.mean_reciprocal_rank	_number	51	101	151	401	451	601	651	701	751	801
0	TrialState.COMPLETE	0.1330559490084986	2020-01-08 16:15:11.011100	2020-01-08 16:43:00.846371	6.1117318892854975	50.0	21.0	0.06270600932210957	0.0010808000566146926	1000.0	0.27621106686193775	0.05028328611898017	0.1330559490084986	0.08113491501416431	0.09822060906515581	5598.921897131728	0.07982909568330743	0.05028328611898017	0.1330559490084986	0.08113491501416431	0.09822060906515581	5598.921565155807	0.07982909584304132	0.05028328611898017	0.1330559490084986	0.08113491501416431	0.09822060906515581	5598.9222291076485	0.07982909552374536	0	0.15262039660056656	0.13957743153918792								
1	TrialState.COMPLETE	0.12863943972300912	2020-01-08 16:43:00.857248	2020-01-08 20:26:15.317731	5.153459304136783	250.0	1.0	0.010103712157891256	0.0700890515045452	1000.0	0.20703193487085078	0.02634167453572553	0.12863943972300912	0.06026715454831602	0.0850546899590809	4196.75987566887	0.06146797838304393	0.02634167453572553	0.12863943972300912	0.06026715454831602	0.0850546899590809	4196.75973796034	0.06146799491095768	0.02634167453572553	0.12863943972300912	0.06026715454831602	0.0850546899590809	4196.7600133774	0.06146796240795084	1									0.12836402266288952	0.12850983169471755
2	TrialState.COMPLETE	0.0003541076487252125	2020-01-08 20:26:15.318945	2020-01-08 20:56:39.593498	0.535649503987635	150.0	31.0	0.003994132957899253	0.00551222164619051	500.0	0.9835091849679786	4.426345609065156e-05	0.0003541076487252125	0.0002213172804532578	0.0002213172804532578	19938.7194582153	0.0004531649039610428	4.426345609065156e-05	0.0003541076487252125	0.0002213172804532578	0.0002213172804532578	19938.71941395184	0.0004531649202398019	4.426345609065156e-05	0.0003541076487252125	0.0002213172804532578	0.0002213172804532578	19938.719502478754	0.0004531648876961924	2	0.000708215297450425	0.00047214353163361664								
3	TrialState.COMPLETE	0.0009295325779036828	2020-01-08 20:56:39.594655	2020-01-08 21:28:35.859090	8.616017520961812	250.0	21.0	0.0035690999645545097	0.034358403428074495	900.0	0.997371200744416	0.0001327903682719547	0.0009295325779036828	0.0003541076487252125	0.0004426345609065156	20220.00429355524	0.0005765938317294128	0.0001327903682719547	0.0009295325779036828	0.0003541076487252125	0.0004426345609065156	20220.00416076487	0.0005765938340099322	0.0001327903682719547	0.0009295325779036828	0.0003541076487252125	0.0004426345609065156	20220.004426345607	0.000576593829449366	3	0.0009737960339943342	0.0009442870632672333								
4	TrialState.COMPLETE	0.47701519443729073	2020-01-08 21:28:35.860267	2020-01-09 00:19:02.273038	3.569316587756184	350.0	21.0	0.0036557435261101445	0.0035109127002040936	500.0	0.1888406588480935	0.2571948235900077	0.47701519443729073	0.38256502704094775	0.4283897759464332	3827.6369511331445	0.33557400777411284	0.2571948235900077	0.47701519443729073	0.38256502704094775	0.4283897759464332	3827.636862606232	0.3355740078203839	0.2571948235900077	0.47701519443729073	0.38256502704094775	0.4283897759464332	3827.637039660057	0.33557400772792345	4				0.4760780610638968	0.47659348441926347					
5	TrialState.COMPLETE	0.21235835694050992	2020-01-09 00:19:02.276496	2020-01-09 01:16:24.398522	4.588825649062901	150.0	36.0	0.06804856065732302	0.00011201585969763725	900.0	0.3269195901142531	0.09830028328611898	0.21235835694050992	0.1519830028328612	0.17613314447592068	6626.93066572238	0.13862027406625063	0.09830028328611898	0.21235835694050992	0.1519830028328612	0.17613314447592068	6626.930594900849	0.13862027409887873	0.09830028328611898	0.21235835694050992	0.1519830028328612	0.17613314447592068	6626.930736543909	0.1386202740336538	5		0.2534820585457979	0.22777974504249293							
6	TrialState.COMPLETE	0.000398371104815864	2020-01-09 01:16:24.400268	2020-01-09 02:01:41.691932	6.620786713189533	350.0	36.0	0.004935654004765688	0.060734213915544816	900.0	0.999738835711517	8.852691218130312e-05	0.000398371104815864	0.0001327903682719547	0.0001327903682719547	20268.110680771955	0.00039578983494789014	8.852691218130312e-05	0.000398371104815864	0.0001327903682719547	0.0001327903682719547	20268.110437322946	0.00039578983580226585	8.852691218130312e-05	0.000398371104815864	0.0001327903682719547	0.0001327903682719547	20268.110924220964	0.0003957898340935941	6	0.0006196883852691218	0.00047214353163361664								
7	TrialState.COMPLETE	0.38433958923512745	2020-01-09 02:01:41.693432	2020-01-09 02:46:46.739258	8.899791048427279	450.0	1.0	0.007728395845338574	0.0002557071617528441	600.0	0.37932427447476336	0.28191395184135976	0.38433958923512745	0.3410941926345609	0.359375	7689.359906161473	0.31962932600060856	0.28191395184135976	0.38433958923512745	0.3410941926345609	0.359375	7689.359773371105	0.31962933143512945	0.28191395184135976	0.38433958923512745	0.3410941926345609	0.359375	7689.3600389518415	0.3196293206258067	7	0.38783640226628896	0.385505193578848								
8	TrialState.COMPLETE	0.47814190059232553	2020-01-09 02:46:46.740741	2020-01-09 05:43:58.323999	2.5110224848552423	250.0	31.0	0.003952106355453695	0.0016415391435907762	600.0	0.18664557171885915	0.2556013391707443	0.47814190059232553	0.38142222508369816	0.4274723152201906	3783.1128557172287	0.33441830154676166	0.2556013391707443	0.47814190059232553	0.38142222508369816	0.4274723152201906	3783.1127993819214	0.3344183015507958	0.2556013391707443	0.47814190059232553	0.38142222508369816	0.4274723152201906	3783.1129120525366	0.3344183015427292	8				0.4769436575385584	0.4776026912181303					
9	TrialState.COMPLETE	0.5121438093651058	2020-01-09 05:43:58.325318	2020-01-09 10:17:12.855115	8.801507347664648	250.0	11.0	0.0019625139953436095	0.000136900168127129	900.0	0.2553734033530454	0.39126812197967004	0.5121438093651058	0.46229795034160975	0.4842838693551075	5176.754707548742	0.4362938127635565	0.39126812197967004	0.5121438093651058	0.46229795034160975	0.4842838693551075	5176.754592984503	0.4362938134738156	0.39126812197967004	0.5121438093651058	0.46229795034160975	0.4842838693551075	5176.754822112981	0.43629381206135387	9								0.5108356940509915	0.5115306303116147	
10	TrialState.COMPLETE	0.2842067988668555	2020-01-09 10:17:12.856242	2020-01-09 11:17:35.741024	9.32183947394436	350.0	1.0	0.022821986005206327	0.00018991000626468991	600.0	0.40736185676710823	0.2066926345609065	0.2842067988668555	0.24826487252124646	0.26356232294617565	8257.67673512748	0.2353619674676359	0.2066926345609065	0.2842067988668555	0.24826487252124646	0.26356232294617565	8257.676558073654	0.23536196759824846	0.2066926345609065	0.2842067988668555	0.24826487252124646	0.26356232294617565	8257.676912181303	0.23536196733728323	10		0.29461756373937675	0.288110835694051							
11	TrialState.COMPLETE	0.5129957507082153	2020-01-09 11:17:35.742190	2020-01-09 18:45:34.959124	6.663748862746132	450.0	36.0	0.006521779624571541	0.00033752078720719164	700.0	0.20086738540840623	0.34638810198300285	0.5129957507082153	0.4481350330500472	0.4780571293673277	4071.5984714353162	0.40878539971659156	0.3464117091595845	0.5129957507082153	0.4481350330500472	0.4780571293673277	4071.5983829084043	0.40879326877986893	0.34638810198300285	0.5129957507082153	0.4481350330500472	0.4780571293673277	4071.5985599622286	0.4087814651827461	11						0.512162235781216	0.5126087616349656			
