number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.hidden_dropout_rate	params_model.num_filters	params_negative_sampler.num_negs_per_pos	params_optimizer.lr	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
0	0.3973087818696884	2020-05-08 21:19:50.276654	2020-05-09 00:24:28.393762	32	0.20343882553748763	256	49	0.001844037285779324	128	0.39468465388457774	0.0008852691218130312	0.3973087818696884	0.31710339943342775	0.3698654390934844	7999.5242563739375	0.16275137081683022	0.0008852691218130312	0.3973087818696884	0.31710339943342775	0.3698654390934844	7999.5242563739375	0.16275137081683022	3942347849	250	0.0008852691218130312	0.3973087818696884	0.31710339943342775	0.3698654390934844	7999.5242563739375	0.16275137081683022	0	COMPLETE
1	0.3861543909348442	2020-05-09 00:24:28.480340	2020-05-09 01:23:06.385852	32	0.15327156785407517	128	39	0.011161167123003584	512	0.34958082328266715	0.36827195467422097	0.3861543909348442	0.38190509915014165	0.3838526912181303	7085.3611898017	0.37684309029623686	0.36827195467422097	0.3861543909348442	0.38190509915014165	0.3838526912181303	7085.360835694051	0.3768430902991991	2835815657	200	0.36827195467422097	0.3861543909348442	0.38190509915014165	0.3838526912181303	7085.361543909348	0.37684309029327473	1	COMPLETE
2	0.403328611898017	2020-05-09 01:23:06.429666	2020-05-09 05:44:52.389042	64	0.3979500558272047	512	9	0.004630845071229511	512	0.31972372931829507	0.369157223796034	0.403328611898017	0.3872167138810198	0.3948300283286119	6481.316306657224	0.3822216527383023	0.369157223796034	0.403328611898017	0.3872167138810198	0.3948300283286119	6481.315509915014	0.3822216527614844	2073512046	400	0.369157223796034	0.403328611898017	0.3872167138810198	0.3948300283286119	6481.317103399433	0.3822216527151272	2	COMPLETE
3	0.39341359773371104	2020-05-09 05:44:52.436726	2020-05-09 07:20:00.436617	128	0.31690911126529014	64	24	0.0065901053581288	512	0.4233106978758499	0.37057365439093487	0.39341359773371104	0.3850920679886686	0.3872167138810198	8579.283197592067	0.37982836036919915	0.37057365439093487	0.39341359773371104	0.3850920679886686	0.3872167138810198	8579.28240084986	0.3798283603781084	1763826472	250	0.37057365439093487	0.39341359773371104	0.3850920679886686	0.3872167138810198	8579.283994334277	0.37982836036029194	3	COMPLETE
4	0.3948300283286119	2020-05-09 07:20:00.469647	2020-05-09 08:54:14.206476	16	0.397807567348872	128	43	0.05872225049505192	512	0.21878631019261588	0.13279036827195467	0.3948300283286119	0.35003541076487255	0.38261331444759206	4434.370308073654	0.24189612171327918	0.13686260623229463	0.39500708215297453	0.3523371104815864	0.3829674220963173	4434.35552407932	0.24464660576438577	3747257665	400	0.13279036827195467	0.3946529745042493	0.34861898016997167	0.380842776203966	4434.385092067989	0.24138503626147642	4	COMPLETE
5	0.43130311614730876	2020-05-09 08:54:14.241466	2020-05-09 10:04:05.907342	64	0.1758129594424509	16	11	0.0011630992022161563	512	0.17138219522846246	0.3588881019830028	0.43130311614730876	0.3937677053824363	0.40722379603399433	3472.994068696884	0.3863138323233592	0.3588881019830028	0.43130311614730876	0.3937677053824363	0.40722379603399433	3472.9934490084984	0.38631383234568684	3923336996	650	0.3588881019830028	0.43130311614730876	0.3937677053824363	0.40722379603399433	3472.994688385269	0.38631383230104055	5	COMPLETE
6	0.41908640226628896	2020-05-09 10:04:05.961721	2020-05-09 11:29:14.117419	64	0.16296112383721995	64	23	0.0026435601411511763	128	0.23413253457144773	0.37092776203966005	0.41908640226628896	0.39305949008498586	0.4006728045325779	4745.440775495751	0.38868279108335396	0.37092776203966005	0.41908640226628896	0.39305949008498586	0.4006728045325779	4745.44033286119	0.38868279118372945	1638303421	250	0.37092776203966005	0.41908640226628896	0.39305949008498586	0.4006728045325779	4745.441218130311	0.38868279098306086	6	COMPLETE
7	0.40173512747875356	2020-05-09 11:29:14.159467	2020-05-09 12:10:17.999809	128	0.48678857043883444	16	22	0.0037562068235654825	256	0.44248908240678103	0.36809490084985835	0.40173512747875356	0.3843838526912181	0.3918201133144476	8966.17696529745	0.38084848991817927	0.36809490084985835	0.40173512747875356	0.3843838526912181	0.3918201133144476	8966.176345609065	0.3808484899243129	3388454442	200	0.36809490084985835	0.40173512747875356	0.3843838526912181	0.3918201133144476	8966.177584985835	0.38084848991204706	7	COMPLETE
8	0.41076487252124644	2020-05-09 12:10:18.038936	2020-05-09 12:45:16.191671	16	0.4470577061714101	128	7	0.015348595924223319	512	0.15730872356556042	0.046211048158640224	0.41076487252124644	0.35570113314447593	0.385800283286119	3187.866147308782	0.20571503823096854	0.046211048158640224	0.41076487252124644	0.35570113314447593	0.385800283286119	3187.8659702549576	0.2057150382314733	1544787612	350	0.046211048158640224	0.41076487252124644	0.35570113314447593	0.385800283286119	3187.866324362606	0.2057150382304637	8	COMPLETE
9	0.403328611898017	2020-05-09 12:45:16.228348	2020-05-09 18:02:09.908887	16	0.3471185416630425	512	31	0.01977484068848156	128	0.1742673145549906	0.15173512747875353	0.403328611898017	0.3663243626062323	0.3893413597733711	3531.9117386685552	0.26143861650118	0.15226628895184136	0.403328611898017	0.3665014164305949	0.3893413597733711	3531.9104107648727	0.2617238698858949	3969057326	550	0.15173512747875353	0.403328611898017	0.3661473087818697	0.38916430594900847	3531.9130665722378	0.2613419394913022	9	COMPLETE
10	0.4086402266288952	2020-05-09 18:02:09.951217	2020-05-09 20:33:48.666214	128	0.44598293432399383	32	43	0.0010496310503717813	512	0.3900665928477527	0.3684490084985836	0.4086402266288952	0.385800283286119	0.39571529745042494	7903.6998052407935	0.38267622950331914	0.3684490084985836	0.4086402266288952	0.385800283286119	0.39571529745042494	7903.699008498584	0.3826762363774068	1905079759	400	0.3684490084985836	0.4086402266288952	0.385800283286119	0.39571529745042494	7903.700601983003	0.3826762226882955	10	COMPLETE
11	0.27213172804532576	2020-05-09 20:33:48.706045	2020-05-09 20:46:59.850293	32	0.463911890056952	16	2	0.07604946846176358	512	0.45479569188035734	0.04745042492917847	0.27213172804532576	0.1388101983002833	0.1958215297450425	9218.522928470255	0.12336097167839849	0.25159348441926344	0.335871104815864	0.2877124645892351	0.30807365439093487	9216.544794617565	0.2786539005225339	2511732960	200	0.04745042492917847	0.22822237960339944	0.11048158640226628	0.15563031161473087	9220.501062322946	0.10244957376906401	11	COMPLETE
12	0.41979461756373937	2020-05-09 20:46:59.887299	2020-05-09 22:02:48.403708	64	0.3651484064676436	64	16	0.0022923738922046317	128	0.21892711541194287	0.37021954674220964	0.41979461756373937	0.39058073654390935	0.40138101983002833	4437.149610481586	0.3886113117089438	0.37021954674220964	0.41979461756373937	0.39058073654390935	0.40138101983002833	4437.148902266289	0.3886113119643253	444302960	250	0.37021954674220964	0.41979461756373937	0.39058073654390935	0.40138101983002833	4437.150318696884	0.38861131145394656	12	COMPLETE
